Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EYMIO Sandbox Instance Connection Checking,Chrome 119.0.0.0,,,2023-11-17 22:25:44,2023-11-17 22:31:54,6m - 9.933s,FAILED
,,,,,,,
Test Cases/EYM IO Sandbox Instance/Exemptax/E_Schylling-ExempTaxConnection,Chrome 119.0.0.0,,,2023-11-17 22:25:45,2023-11-17 22:26:29,43.924s,FAILED
"callTestCase(findTestCase(""EYM IO Login/Login Exemptax Sandbox""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-17 22:25:46,2023-11-17 22:26:08,21.918s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:26:08,2023-11-17 22:26:13,5.011s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:26:13,2023-11-17 22:26:13,0.675s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:26:13,2023-11-17 22:26:15,2.015s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:26:15,2023-11-17 22:26:16,0.623s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:26:16,2023-11-17 22:26:18,2.014s,PASSED
"click(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:26:18,2023-11-17 22:26:19,0.567s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:26:19,2023-11-17 22:26:21,2.021s,PASSED
"mouseOver(findTestObject(""EYM IO - Connection Page/Exemptax/Exemptax Sandbox/Schylling-ExempTax Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:26:21,2023-11-17 22:26:21,0.675s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:26:21,2023-11-17 22:26:23,2.018s,PASSED
"click(findTestObject(""EYM IO - Connection Page/Exemptax/Exemptax Sandbox/Schylling-ExempTax Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:26:23,2023-11-17 22:26:24,0.471s,PASSED
waitForJQueryLoad(30),Chrome 119.0.0.0,,,2023-11-17 22:26:24,2023-11-17 22:26:24,0.309s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-17 22:26:24,2023-11-17 22:26:27,3.011s,PASSED
"verifyElementPresent(findTestObject(""EYM IO - Dashboard Page/Connection - Successful""), 0)",Chrome 119.0.0.0,,,2023-11-17 22:26:27,2023-11-17 22:26:28,0.762s,PASSED
"verifyTextPresent(""Connection Successful."", false)",Chrome 119.0.0.0,,,2023-11-17 22:26:28,2023-11-17 22:26:29,0.696s,FAILED
,,,,,,,
Test Cases/EYM IO Sandbox Instance/Exemptax/E_Schylling-NetsuiteTokenBasedConnection,Chrome 119.0.0.0,,,2023-11-17 22:26:29,2023-11-17 22:27:07,38.861s,FAILED
"callTestCase(findTestCase(""EYM IO Login/Login Exemptax Sandbox""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-17 22:26:29,2023-11-17 22:26:47,17.396s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:26:47,2023-11-17 22:26:52,5.008s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:26:52,2023-11-17 22:26:53,0.929s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:26:53,2023-11-17 22:26:55,2.008s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:26:55,2023-11-17 22:26:55,0.612s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:26:55,2023-11-17 22:26:57,2.012s,PASSED
"click(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:26:57,2023-11-17 22:26:58,0.700s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:26:58,2023-11-17 22:27:00,2.010s,PASSED
"mouseOver(findTestObject(""EYM IO - Connection Page/Exemptax/Exemptax Sandbox/Schylling-NetsuiteTokenBased Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:27:00,2023-11-17 22:27:01,0.767s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:27:01,2023-11-17 22:27:03,2.010s,PASSED
"click(findTestObject(""EYM IO - Connection Page/Exemptax/Exemptax Sandbox/Schylling-NetsuiteTokenBased Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:27:03,2023-11-17 22:27:03,0.476s,PASSED
waitForJQueryLoad(30),Chrome 119.0.0.0,,,2023-11-17 22:27:03,2023-11-17 22:27:03,0.048s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-17 22:27:03,2023-11-17 22:27:06,3.010s,PASSED
"verifyElementPresent(findTestObject(""EYM IO - Dashboard Page/Connection - Successful""), 0)",Chrome 119.0.0.0,,,2023-11-17 22:27:06,2023-11-17 22:27:07,0.411s,PASSED
"verifyTextPresent(""Connection Successful."", false)",Chrome 119.0.0.0,,,2023-11-17 22:27:07,2023-11-17 22:27:07,0.816s,FAILED
,,,,,,,
Test Cases/EYM IO Sandbox Instance/Propeller/P_BambooHRConnection,Chrome 119.0.0.0,,,2023-11-17 22:27:08,2023-11-17 22:27:48,40.388s,PASSED
"callTestCase(findTestCase(""EYM IO Login/Login Propeller Sandbox""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-17 22:27:08,2023-11-17 22:27:26,17.297s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:27:26,2023-11-17 22:27:31,5.016s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:27:31,2023-11-17 22:27:31,0.714s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:27:31,2023-11-17 22:27:33,2.005s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:27:33,2023-11-17 22:27:34,0.654s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:27:34,2023-11-17 22:27:36,2.022s,PASSED
"click(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:27:36,2023-11-17 22:27:37,0.542s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:27:37,2023-11-17 22:27:39,2.016s,PASSED
"mouseOver(findTestObject(""EYM IO - Connection Page/Propeller/Propeller Sandbox/P_BambooHR""))",Chrome 119.0.0.0,,,2023-11-17 22:27:39,2023-11-17 22:27:39,0.580s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:27:39,2023-11-17 22:27:41,2.007s,PASSED
"click(findTestObject(""EYM IO - Connection Page/Propeller/Propeller Sandbox/P_BambooHR""))",Chrome 119.0.0.0,,,2023-11-17 22:27:41,2023-11-17 22:27:42,0.571s,PASSED
waitForJQueryLoad(30),Chrome 119.0.0.0,,,2023-11-17 22:27:42,2023-11-17 22:27:42,0.076s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-17 22:27:42,2023-11-17 22:27:45,3.008s,PASSED
"verifyElementPresent(findTestObject(""EYM IO - Dashboard Page/Connection - Successful""), 0)",Chrome 119.0.0.0,,,2023-11-17 22:27:45,2023-11-17 22:27:45,0.397s,PASSED
"verifyTextPresent(""Connection Successful."", false)",Chrome 119.0.0.0,,,2023-11-17 22:27:45,2023-11-17 22:27:46,0.382s,PASSED
"if (verifyTextPresent(""Connection Successful."", true) == true)",Chrome 119.0.0.0,,,2023-11-17 22:27:46,2023-11-17 22:27:48,2.338s,PASSED
,,,,,,,
Test Cases/EYM IO Sandbox Instance/Propeller/P_NetSuiteConnection,Chrome 119.0.0.0,,,2023-11-17 22:27:48,2023-11-17 22:28:26,37.685s,PASSED
"callTestCase(findTestCase(""EYM IO Login/Login Propeller Sandbox""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-17 22:27:49,2023-11-17 22:28:04,15.405s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:28:04,2023-11-17 22:28:09,5.005s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:28:09,2023-11-17 22:28:10,0.655s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:28:10,2023-11-17 22:28:12,2.014s,PASSED
